id,sent0,label
5359,Reminder: @JoeBiden cast one of the key votes to help Republicans narrowly defeat legislation by @BernieSanders and Paul Wellstone designed to stop pharmaceutical price gouging. Pass it on,1
2134,"I've heard they wanna export it to uncle Charlie over in China, because the chinks are paying top dollar for it! https://t.co/lqSnjg0mei",2
2456,@RahulGandhi It has been confirmed in Thailand as well.. ladyboys se bach ke rehna pappu.. varna tu corona ko apne saath India aur Italy le jaayega.,1
1953,"@Paul42980402 ""Coronavirus could shut down parliament for months under emergency plans"" Given the Tories large Commons majority, will it make much difference",1
2078,"“We have enough stock within Singapore so there should not be a situation where we anticipate the masks running out at any time,” MOH said” https://t.co/omoZsqjfxS",2
5173,Ministry of health’s emergency notification to the public about coronavirus outbreak,0
1824,"High-speed (4G) mobile internet services will be restored by tonight in all districts of Jammu, whereas 4G internet services suspension will continue in all districts of Kashmir till fresh assessment of the situation. However, any misuse of internet facilities will result in legal action。",0
1688,Covid19: a video shows a vaccination team trying to spread the virus in the village of Casamance in southern Senegal,0
6621,China has never opened its own market to competition from @ericsson @nokia in terms of 5G prime contractor status. Nor has China provided clear explanations as to the level of state support for @H… https://buff.ly/2tIfFwM,0
641,FISA court delays deadline for DOJ's proposed reforms amid coronavirus,1
3112,Quarantined person fled from a facility in Daegu south Korea,0
5904,"The Huanan seafood market in Wuhan has been widely considered the source of the outbreak of a novel coronavirus. But the virus may have infected people elsewhere first, a new paper suggests",2
5191,Chinese panic video over Corona Virus,0
6047,"BREAKING: India's first case of novel coronavirus confirmed. Student from Kerala who had returned from Wuhan. Being kept in isolation, stable, being monitored",2
2601,"#coronavirus Italy was the first country to deny Chinese citizen entry to EU, now they have the first deaths. #InstantKarma",1
2369,@gerpaq44 @Destinbeach22 Separated room and bathroom ventilation key if a member in household is sick. Why did China make everyone wear masks! if you’re in an area where you’re in close quarters the risk is high if your near someone infected,1
521,Homeopathic supplements have proven to treat the flu,0
4839,Photos of a Chinese man eating “human baby soup” that circulated on social networking platforms. He is seen sitting at a table with a stillborn baby served in front of him,0
